id,deskripsi_laporan,jenis_infrastruktur,kota_administrasi,tingkat_kerusakan,date_laporan
5313,Lantai jembatan jln Ciledug Raya berlubang berbahaya bagi kendaraan,Jembatan,Jakarta Timur,Sedang,2025-04-14 14:57:40
5314,Kerusakan massal kabel fiber di Jalan Haji Nawi menyebabkan wilayah luas tanpa internet,Kabel Fiber,Jakarta Selatan,Berat,2025-08-24 09:41:26
5315,Trotoar Jalan Sisingamangaraja rusak berat ada yang ambles ke saluran drainase bawahnya,Trotoar,Jakarta Selatan,Berat,2025-03-24 00:08:23
5316,Got besar di Jalan Hayam Wuruk amblas menyebabkan jalan ikut rusak,Drainase,Jakarta Selatan,Berat,2025-09-24 22:10:58
5317,Kabel lampu jalan di Jalan Cengkareng tampak menjuntai berbahaya,Lampu Jalan,Jakarta Selatan,Sedang,2025-06-10 06:04:33
5318,Trotoar Gang Anggrek rusak parah pejalan kaki terpaksa jalan di badan jalan,Trotoar,Jakarta Selatan,Sedang,2025-04-26 05:45:34
5319,Lampu jalan di gang Jalan Pangeran Jayakarta kurang terang perlu perhatian,Lampu Jalan,Jakarta Utara,Ringan,2025-02-24 04:12:53
5320,Jembatan Jalan Hayam Wuruk ambles parah dan menutup akses jalan utama,Jembatan,Jakarta Barat,Berat,2025-02-05 06:38:09
5321,Pohon tumbang besar di taman Gang Anggrek sangat membahayakan warga sekitar,Taman,Jakarta Selatan,Berat,2025-11-01 20:19:39
5322,Tiang kabel fiber Jalan Pluit roboh dan kabel berantakan di jalan sangat berbahaya,Kabel Fiber,Jakarta Selatan,Berat,2025-02-02 12:47:00
5323,Permukaan jembatan Jalan Pangeran Jayakarta mulai kasar dan tidak rata,Jembatan,Jakarta Utara,Ringan,2025-02-17 07:26:16
5324,Saluran drainase Jalan Sudirman perlu perawatan ringan sebelum musim hujan,Drainase,Jakarta Selatan,Ringan,2025-08-06 06:45:35
5325,Banjir merendam taman Jalan Otista semua tanaman dan fasilitas rusak parah,Taman,Jakarta Utara,Berat,2025-08-12 00:34:10
5326,Trotoar Jalan Meruya ada satu dua ubin yang goyang sedikit berbahaya,Trotoar,Jakarta Pusat,Ringan,2025-08-13 16:45:05
5327,Banyak lubang kecil sedang di badan jalan Jalan Pluit,Jalan,Jakarta Barat,Sedang,2025-11-15 05:50:11
5328,Ada kabel fiber di Jalan Hayam Wuruk yang pengikatnya lepas,Kabel Fiber,Jakarta Barat,Ringan,2025-06-16 14:20:16
5329,Lampu taman di Jalan Hayam Wuruk mati sehingga taman gelap malam hari,Taman,Jakarta Timur,Sedang,2025-12-12 17:40:17
5330,Instalasi kabel fiber Jalan Panjang hancur total akibat tertimpa pohon besar tumbang,Kabel Fiber,Jakarta Barat,Berat,2025-08-05 12:09:55
5331,Kerusakan massal kabel fiber di Jalan Rasuna Said menyebabkan wilayah luas tanpa internet,Kabel Fiber,Kepulauan Seribu,Berat,2025-10-31 01:20:09
5332,Kondisi trotoar Jalan Meruya cukup memprihatinkan banyak kerusaan merata,Trotoar,Jakarta Pusat,Sedang,2025-10-03 16:52:49
5333,Penerangan jalan di Jalan Pluit gelap karena beberapa lampu mati,Lampu Jalan,Jakarta Timur,Sedang,2025-11-24 14:24:57
5334,Pagar pengaman jembatan Jalan Pramuka sedikit berkarat,Jembatan,Jakarta Timur,Ringan,2025-11-18 07:46:06
5335,Permukaan trotoar Jalan Pramuka sedikit tidak rata,Trotoar,Jakarta Pusat,Ringan,2025-07-02 17:55:11
5336,Got besar di Jalan Ahmad Yani amblas menyebabkan jalan ikut rusak,Drainase,Kepulauan Seribu,Berat,2025-12-15 03:41:30
5337,Terdapat lubang sangat besar di jalan Jalan Ciledug Raya membahayakan pengendara,Jalan,Jakarta Selatan,Berat,2025-03-03 14:43:13
5338,Drainase Jalan Gatot Subroto kurang bersih perlu segera diperhatikan,Drainase,Jakarta Timur,Ringan,2025-04-15 22:46:13
5339,Kabel fiber Jalan Fatmawati putus massal akibat bencana menyebabkan blackout digital,Kabel Fiber,Jakarta Utara,Berat,2025-10-21 18:11:53
5340,Kerusakan trotoar jl Hayam Wuruk sangat parah ada lubang besar mengancam keselamatan,Trotoar,Jakarta Selatan,Berat,2025-01-11 05:11:09
5341,Kerusakan jlan di jl Warung Buncit cukup parah ada beberapa lubang,Jalan,Jakarta Timur,Sedang,2025-10-31 18:58:39
5342,Tiang kabel fiber di Jalan Fatmawati roboh menimpa kendaraan yang lewat,Kabel Fiber,Jakarta Selatan,Berat,2025-04-24 13:56:10
5343,Lampu jalan Gang Melati cahayanya mulai memudar,Lampu Jalan,Jakarta Timur,Ringan,2025-02-24 13:51:20
5344,Jalan Jalan Raya Kembangan rusak dengan lubang berdiameter 25 cm,Jalan,Jakarta Selatan,Sedang,2025-11-28 18:04:40
5345,Jembatan Jalan Meruya hampir roboh sangat mengancam keselamatan jiwa,Jembatan,Jakarta Timur,Berat,2025-05-08 17:35:09
5346,Kerusakan jalan di Jalan Gajah Mada cukup parah ada beberapa lubang,Jalan,Jakarta Timur,Sedang,2025-04-29 05:20:41
5347,Tiang lampu jalan Jalan Raya Kembangan patah miring hampir jatuh ke jalan ini jalan protokol yang ramai,Lampu Jalan,Jakarta Pusat,Berat,2025-06-23 07:50:36
5348,Laporan: Got jln Haji Nawi retak dan bocor air merembes ke jaln warga sekitar sudah mengeluh,Drainase,Jakarta Barat,Sedang,2025-09-07 10:35:19
5349,Saluran got di Jalan Gajah Mada mampet total air meluap ke jalan,Drainase,Jakarta Pusat,Sedang,2025-05-14 03:31:46
5350,Lantai jembatan Jalan Sisingamangaraja berlubang berbahaya bagi kendaraan,Jembatan,Jakarta Pusat,Sedang,2025-11-15 23:47:56
5351,Jalan Jalan Mangga Dua ada sedikit retak di pinggir badan jalan,Jalan,Jakarta Barat,Ringan,2025-08-08 05:51:25
5352,Sistem drainase Jalan Pangeran Jayakarta kolaps total banjir mengancam pemukiman warga,Drainase,Jakarta Pusat,Berat,2025-05-08 00:36:21
5353,Tempat duduk di taman Jalan Daan Mogot hampir semua rusak tidak layak,Taman,Jakarta Timur,Sedang,2025-05-28 08:36:51
5354,Kabel fiber Jalan Gatot Subroto terputus akibat tertimpa pohon,Kabel Fiber,Jakarta Pusat,Sedang,2025-08-20 22:46:07
5355,Drainase Jalan Warung Buncit kurang bersih perlu segera diperhatikan,Drainase,Kepulauan Seribu,Ringan,2025-03-29 14:38:52
5356,Got Jalan Panjang ada sedikit sampah yang menghambat aliran air,Drainase,Jakarta Utara,Ringan,2025-10-15 00:11:36
5357,Kabel fiber jl Ahmad Yani putus massal akibat bencana buat blackout digital,Kabel Fiber,Jakarta Selatan,Berat,2025-03-15 02:10:03
5358,Kabel fiber di Jalan Pluit kondisinya kurang baik perlu pengecekan,Kabel Fiber,Jakarta Timur,Ringan,2025-06-08 21:57:38
5359,Drainase Jalan Hayam Wuruk tidak berfungsi dan menyebabkan banjir kecil,Drainase,Jakarta Barat,Sedang,2025-08-25 16:58:31
5360,Pagar jembatan di Jalan Raya Bekasi rusak dan membahayakan pejalan kaki,Jembatan,Jakarta Timur,Sedang,2025-12-04 06:31:45
5361,Kabel fiber Jalan Haji Nawi putus dan terurai berbahaya berpotensi menyetrum warga,Kabel Fiber,Jakarta Timur,Berat,2025-06-05 18:35:58
5362,Laporan: Satu bundel kabel fiber di Jalan Raya Pasar Minggu terlepas dari pengikat tiang,Kabel Fiber,Kepulauan Seribu,Ringan,2025-09-08 04:09:01
5363,Bunga di taman Gang Melati layu karena kurang air,Taman,Jakarta Timur,Ringan,2025-11-25 03:08:50
5364,Tiang lampu Jalan Muara Baru roboh hampir menimpa rumah warga,Lampu Jalan,Jakarta Timur,Berat,2025-06-13 23:50:46
5365,Sambungan kabel fiber di Jalan Hayam Wuruk terputus layanan internet terganggu,Kabel Fiber,Jakarta Pusat,Sedang,2025-01-18 06:11:02
5366,Permukaan trotoar Jalan Cengkareng tidak rata berbahaya untuk lansia dan difabel,Trotoar,Jakarta Barat,Sedang,2025-01-09 17:31:38
5367,Drainase Jalan Warung Buncit tidak berfungsi dan menyebabkan banjir kecil,Drainase,Jakarta Timur,Sedang,2025-11-29 14:33:32
5368,Beton jembatan Jalan Pangeran Jayakarta retak ringan di bagian pinggir,Jembatan,Jakarta Barat,Ringan,2025-09-28 18:28:22
5369,Longsor kecil merusak area taman Jalan Pramuka secara parah,Taman,Kepulauan Seribu,Berat,2025-11-07 22:47:46
5370,Saluran drainase di Jalan Otista sedikit tersumbat sampah daun,Drainase,Jakarta Utara,Ringan,2025-12-29 11:42:32
5371,Kondisi jalan Jalan Raya Bekasi kritis hampir tidak layak dilalui,Jalan,Jakarta Timur,Berat,2025-06-06 07:40:34
5372,Instalasi kabel fiber Jalan Panjang kurang rapi mengganggu estetika,Kabel Fiber,Jakarta Barat,Ringan,2025-07-30 01:51:53
5373,Pemasangan kabel fiber di Jalan Haji Nawi tidak rapi menggantung rendah,Kabel Fiber,Jakarta Timur,Ringan,2025-01-07 00:17:19
5374,Jembatan Gang Mawar ada bagian yang ambles tidak rata,Jembatan,Jakarta Pusat,Sedang,2025-04-30 12:41:05
5375,Beberapa bata trotoar Jalan Sisingamangaraja retak ringan,Trotoar,Jakarta Barat,Ringan,2025-10-28 18:20:07
5376,Drainase Jalan Ahmad Yani jebol menyebabkan banjir parah di pemukiman warga,Drainase,Jakarta Selatan,Berat,2025-08-03 11:53:55
5377,Jalan Jalan Sudirman mengalami retak kecil sepanjang 8 meter,Jalan,Jakarta Utara,Ringan,2025-03-31 06:55:46
5378,Terdapat keretakan kecil di aspal jalan Jalan Muara Baru,Jalan,Jakarta Utara,Ringan,2025-10-29 02:01:49
5379,Jembatan Jalan Warung Buncit ambles parah dan menutup akses jalan utama,Jembatan,Jakarta Utara,Berat,2025-03-21 18:10:49
5380,Tiang lampu jalan Jalan Hayam Wuruk roboh sangat berbahaya menghalangi jalan,Lampu Jalan,Jakarta Barat,Berat,2025-12-31 18:47:22
5381,Tiang penyangga kabel fiber di Jalan Pangeran Jayakarta patah menimpa rumah warga ini sudah lama dibiarkan,Kabel Fiber,Jakarta Utara,Berat,2025-11-01 02:19:12
5382,Drainase Jalan TB Simatupang kurang bersih perlu segera diperhatikan,Drainase,Jakarta Pusat,Ringan,2025-08-09 20:55:47
5383,Trotoar Jalan Rasuna Said ambles di beberapa titik berbahaya pejalan kaki,Trotoar,Jakarta Pusat,Sedang,2025-09-07 01:39:52
5384,Tiang kabel fiber Jalan Daan Mogot miring hampir roboh,Kabel Fiber,Jakarta Utara,Sedang,2025-04-30 00:36:26
5385,Pondasi jembatan Jalan Pangeran Jayakarta amblas darurat harus segera dievakuasi mohon bantuannya,Jembatan,Jakarta Pusat,Berat,2025-08-03 06:43:37
5386,Taman jl Meruya rusak berat akibat vandalisme parah butuh renovasi total,Taman,Jakarta Barat,Berat,2025-08-03 19:07:09
5387,Jalan Jalan Ciledug Raya amblas dalam dan lebar sangat mengancam keselamatan,Jalan,Kepulauan Seribu,Berat,2025-07-02 20:09:46
5388,Got pinggir jalan Jalan Gatot Subroto ada sampah plastik menyumbat sedikit,Drainase,Jakarta Utara,Ringan,2025-03-04 06:10:07
5389,Ada lampu jalan di Jalan Daan Mogot yang sering mati hidup sendiri,Lampu Jalan,Jakarta Timur,Ringan,2025-11-30 22:29:26
5390,Jembatan Jalan Otista ada bagian yang ambles tidak rata,Jembatan,Jakarta Utara,Sedang,2025-08-25 21:08:03
5391,Taman Jalan Raya Bekasi banyak vandalisme coretan di fasilitas umum,Taman,Jakarta Timur,Sedang,2025-02-20 23:43:05
5392,Ubin trotoar di Jalan Fatmawati mulai longgar tapi masih aman,Trotoar,Jakarta Utara,Ringan,2025-02-04 12:25:06
5393,Cat jembatan di Jalan Sudirman mulai mengelupas perlu dicat ulang,Jembatan,Kepulauan Seribu,Ringan,2025-03-30 05:02:07
5394,Trotoar di Jalan TB Simatupang ada beberapa ubin yang retak kecil,Trotoar,Jakarta Timur,Ringan,2025-10-24 01:28:08
5395,Beberapa pot tanaman di taman Jalan Warung Buncit retak kecil,Taman,Jakarta Utara,Ringan,2025-12-11 21:47:59
5396,Kabel fiber jl Panjang putus dan terurai bahaya berpotensi menyetrum warga tolong segera ditangani,Kabel Fiber,Jakarta Pusat,Berat,2025-09-25 14:59:15
5397,Trotoar di Jalan Raya Pasar Minggu ada celah kecil antar ubin perlu diperbaiki,Trotoar,Jakarta Barat,Ringan,2025-04-30 19:47:46
5398,Paving block trotoar Jalan Gatot Subroto sedikit terangkat perlu diperbaiki,Trotoar,Jakarta Pusat,Ringan,2025-04-02 09:36:12
5399,Jalan Jalan Cengkareng amblas parah dan sangat berbahaya bagi pengendara,Jalan,Jakarta Selatan,Berat,2025-07-13 10:13:34
5400,Jalan Jalan Casablanca tidak rata dan berlubang menyebabkan kendaraan oleng,Jalan,Jakarta Utara,Sedang,2025-01-22 05:29:41
5401,Got Jalan Ciledug Raya penuh sampah dan lumpur tidak bisa mengalir,Drainase,Jakarta Utara,Sedang,2025-11-26 09:49:33
5402,Trotoar Jalan Raya Bekasi ambles dalam sagnat berbahaya bagi semua pengguna jalan,Trotoar,Jakarta Utara,Berat,2025-02-05 09:11:06
5403,Lampu jalan Jalan Warung Buncit sering konslet menyebabkan mati berulang,Lampu Jalan,Jakarta Selatan,Sedang,2025-02-10 00:50:35
5404,Lampu jalan Jalan TB Simatupang kabelnya terkelupas berbahaya bila hujan,Lampu Jalan,Jakarta Pusat,Sedang,2025-11-13 20:33:08
5405,Trotoar Jalan Warung Buncit ada retakan tipis di beberapa bagian,Trotoar,Kepulauan Seribu,Ringan,2025-06-28 00:36:42
5406,Saluran drainase di Jalan Gunung Sahari sedikit tersumbat sampah daun,Drainase,Jakarta Barat,Ringan,2025-06-05 04:38:18
5407,Lampu jalan Jalan Meruya casing nya sedikit retak tapi masih menyala,Lampu Jalan,Jakarta Timur,Ringan,2025-07-05 00:53:52
5408,Jembatan Jalan Panjang retak parah dan sangat berbahaya harus ditutup,Jembatan,Kepulauan Seribu,Berat,2025-10-07 22:54:23
5409,Pagar taman Jalan Raya Bekasi rusak di beberapa bagian,Taman,Jakarta Pusat,Sedang,2025-06-24 12:53:50
5410,Trotoar Jalan Gatot Subroto russk parah pejalaan kaki terpaksa jalan di badan jalan,Trotoar,Kepulauan Seribu,Sedang,2025-02-26 23:47:41
5411,Jembatan Jalan Ahmad Yani ada sedikit getaran saat dilalui kendaraan berat,Jembatan,Jakarta Timur,Ringan,2025-01-26 06:45:42
5412,Jalan Jalan Gajah Mada berlubang cukup dalam sekitar 10 cm,Jalan,Jakarta Utara,Sedang,2025-10-20 11:08:49
5413,Instalasi listrik lampu jalan Jalan Panjang terbakar sangat berbahaya,Lampu Jalan,Jakarta Utara,Berat,2025-12-19 15:52:01
5414,Kabel fiber di Jalan Raya Pasar Minggu kondisinya kurang baik perlu pengecekan,Kabel Fiber,Jakarta Pusat,Ringan,2025-02-08 14:07:09
5415,Taman Jalan Sudirman ga terawat tanaman banyak yang mati,Taman,Jakarta Timur,Sedang,2025-05-07 13:59:22
5416,Drainase Jalan Otista jebol air membanjiri jalan dan rumah warga sekitar,Drainase,Jakarta Utara,Berat,2025-09-11 17:23:24
5417,Bangku  taman  di  Jalan  Ahmad  Yani  rusak  dan  tidak  bisa  digunakan,Taman,Kepulauan Seribu,Sedang,2025-05-25 04:13:54
5418,Got di Jalan Rasuna Said mulai penuh lumpur perlu dikeruk,Drainase,Jakarta Timur,Ringan,2025-01-09 02:56:47
5419,Beberapa kabel fiber di Jalan Casablanca putus menyebabkan area mati sinyal,Kabel Fiber,Jakarta Timur,Sedang,2025-03-01 04:30:59
5420,Drainase Jalan Raya Pasar Minggu kurang bersih perlu segera diperhatikan,Drainase,Jakarta Utara,Ringan,2025-01-14 03:23:39
5421,Saluran got Jalan Raya Pasar Minggu mulai menyempit karena endapan,Drainase,Jakarta Selatan,Ringan,2025-03-16 07:35:31
5422,Permukaan trotoar Jalan Meruya sedikit tidak rata,Trotoar,Jakarta Utara,Ringan,2025-05-02 05:38:39
5423,Beberapa bata trotoar Jalan Raya Bekasi retak ringan,Trotoar,Jakarta Utara,Ringan,2025-01-15 23:46:05
5424,Jembatan Jalan Gatot Subroto ada retakan kecil di permukaan beton,Jembatan,Jakarta Selatan,Ringan,2025-07-14 18:01:26
5425,Beberapa lampu jalan di Jalan Mangga Dua mati menyebabkan jalan gelap,Lampu Jalan,Jakarta Pusat,Sedang,2025-04-05 04:55:18
5426,Banyak lubang kecil sedang di badan jalan Jalan Mangga Dua,Jalan,Jakarta Timur,Sedang,2025-09-21 03:21:20
5427,Tiang kabel fiber Gang Dahlia miring hampir roboh,Kabel Fiber,Jakarta Selatan,Sedang,2025-05-31 05:52:56
5428,Kerusakan massal kabel fiber di Gang Melati menyebabkan wilayah luas tanpa internet,Kabel Fiber,Jakarta Utara,Berat,2025-11-21 20:00:14
5429,Banyak lubang kecil sedang di badan jalan Jalan Raya Pasar Minggu,Jalan,Jakarta Utara,Sedang,2025-12-23 09:02:15
5430,Ada retakan tipis di permukaan jlan Jalan TB Simatupang,Jalan,Jakarta Utara,Ringan,2025-01-04 00:39:23
5431,Cat jembatan di Jalan TB Simatupang mulai mengelupas perlu dicat ulang,Jembatan,Jakarta Barat,Ringan,2025-07-31 15:36:58
5432,Jalur pejalan kaki di taman Jalan Otista rusak dan berlubang,Taman,Jakarta Pusat,Sedang,2025-11-15 11:27:57
5433,Jembatan jl Mangga Dua terancam roboh akibat banjir besar melanda,Jembatan,Jakarta Pusat,Berat,2025-05-20 02:23:28
5434,Taman Jalan TB Simatupang sedikit kotor ada sampah berserakan sudah 2 minggu belum diperbaiki,Taman,Jakarta Timur,Ringan,2025-10-22 11:23:18
5435,Area bermain anak di tmaan Jalan Fatmawati fasilitasnya banyak rusak depan masjid,Taman,Jakarta Timur,Sedang,2025-07-27 05:15:16
5436,Saluran air taman Jalan Panjang mampet menyebabkan genangan,Taman,Jakarta Selatan,Sedang,2025-08-27 03:08:53
5437,Area bermain anak di taman Jalan Cengkareng fasilitasnya banyak rusak,Taman,Jakarta Pusat,Sedang,2025-05-15 13:00:07
5438,Rel jembatan Jalan Kebon Jeruk copot berbahaya bagi pengguna jalan,Jembatan,Jakarta Selatan,Sedang,2025-01-18 01:49:07
5439,Lampu jlan Jalan Meruya sering konslet menyebabkan mati berulang,Lampu Jalan,Jakarta Pusat,Sedang,2025-09-04 01:13:01
5440,Jalan di Jalan Ciledug Raya mulai retak namun masih bisa dilalui,Jalan,Jakarta Selatan,Ringan,2025-12-26 13:35:14
5441,Aspal di atas jembatan Jalan Otista retak tipis perlu penambalan,Jembatan,Jakarta Utara,Ringan,2025-02-15 12:17:48
5442,Banyak lubang kecil sedang di badan jalan Jalan Sisingamangaraja,Jalan,Jakarta Pusat,Sedang,2025-02-16 05:27:33
5443,Penyangga jembatan Gang Melati terlihat retak perlu inspeksi,Jembatan,Jakarta Pusat,Sedang,2025-01-18 00:33:06
5444,Area Jalan Kebon Jeruk gelap gulita karena banyak lampu jalan mati,Lampu Jalan,Jakarta Pusat,Sedang,2025-12-22 11:28:06
5445,Bangku taman di Jalan Gajah Mada rusak dan tidak bisa digunakan,Taman,Jakarta Barat,Sedang,2025-03-19 00:55:46
5446,URGENT!! Drainase Jalan Kebon Jeruk rusak berat banjir menggenangi rumah warga sudah dilaporkan ke RT tapi belum ada respons,Drainase,Jakarta Timur,Berat,2025-02-11 22:03:29
5447,Drainase Jalan Mangga Dua kurang bersih perlu segera diperhatikan,Drainase,Jakarta Timur,Ringan,2025-02-07 16:02:26
5448,Beton jembatan Jalan Raya Bekasi retak lebar perlu penanganan segera,Jembatan,Jakarta Pusat,Sedang,2025-08-04 07:03:29
5449,Kabel fiber Jalan Otista menyebabkan kebakaran karena korsleting parah,Kabel Fiber,Kepulauan Seribu,Berat,2025-12-08 10:05:03
5450,Got di Jalan Cengkareng mulai penuh lumpur perlu dikeruk,Drainase,Kepulauan Seribu,Ringan,2025-05-12 16:17:31
5451,Lantai jembatan Jalan Rasuna Said ada retakan tipis perlu pengecekan,Jembatan,Jakarta Utara,Ringan,2025-05-07 12:11:07
5452,Lampu penerangan di Jalan Gunung Sahari kurang terang perlu diganti,Lampu Jalan,Jakarta Pusat,Ringan,2025-12-07 00:01:36
5453,Lampu jalan di Gang Anggrek redup tidak seterang biasanya,Lampu Jalan,Kepulauan Seribu,Ringan,2025-07-06 11:34:55
5454,Terdapat lubang sedang di jlan Jalan Ahmad Yani yang mengganggu kendaraan,Jalan,Jakarta Utara,Sedang,2025-09-22 11:28:27
5455,Lampu jalan di Jalan Warung Buncit redup tidak seterang biasanya,Lampu Jalan,Jakarta Timur,Ringan,2025-12-14 19:16:31
5456,Ubin trotoar di Jalan Casablanca banyak yang copot dan berlubang,Trotoar,Jakarta Utara,Sedang,2025-01-07 03:35:00
5457,Kerusakan masif trotoar jln Muara Baru membahayakan jiwa pejalan kaki,Trotoar,Jakarta Pusat,Berat,2025-06-07 21:51:55
5458,Penerangan jalan di Gang Mawar gelap karena beberapa lampu mati,Lampu Jalan,Jakarta Barat,Sedang,2025-04-20 12:10:52
5459,Ubin  trotoar  Jalan  Pangeran  Jayakarta  banyak  yang  hilang  meninggalkan  lubang ini sudah lama dibiarkan,Trotoar,Kepulauan Seribu,Sedang,2025-08-30 08:53:27
5460,Kerusakan jalan di Jalan Pramuka cukup parah ada beberapa lubang,Jalan,Jakarta Selatan,Sedang,2025-07-14 04:05:22
5461,Tiang lampu jalan di Jalan Mangga Dua miring cukup parah perlu segera diperbaiki,Lampu Jalan,Jakarta Pusat,Sedang,2025-10-03 16:15:53
5462,Kabel lampu jalan Jalan Sisingamangaraja putus dan terurai berbahaya menyetrum,Lampu Jalan,Jakarta Selatan,Berat,2025-03-23 15:01:02
5463,Trotoar Jalan Sudirman ada retakan tipis di beberapa bagian,Trotoar,Jakarta Utara,Ringan,2025-01-09 12:26:27
5464,Tempat duduk di taman Jalan Haji Nawi hampir semua rusak tidak layak depan masjid,Taman,Kepulauan Seribu,Sedang,2025-02-10 10:40:37
5465,Drainase Gang Dahlia tersumbat menyebabkan genangan air saat hujan,Drainase,Jakarta Utara,Sedang,2025-01-25 02:50:07
5466,URGENT!! Trotoar Jalan Meruya runtuh dan menimbulkan lubang besar di pinggir jalan,Trotoar,Jakarta Barat,Berat,2025-01-15 18:31:42
5467,Lampu jalan Jalan Rasuna Said mati pada jam tertentu saja,Lampu Jalan,Jakarta Utara,Ringan,2025-08-04 08:02:01
5468,Laporan: Taman Jalan Pangeran Jayakarta hancur dan perlu dibangun ulang dari awal,Taman,Jakarta Barat,Berat,2025-12-21 08:37:15
5469,Rel jembatan Jalan Ahmad Yani copot bahaya bgt bagi pengguna jalan,Jembatan,Jakarta Barat,Sedang,2025-09-25 17:04:52
5470,Trotoar Jalan Pangeran Jayakarta runtuh parah akibat tanah longsor kecil,Trotoar,Jakarta Pusat,Berat,2025-12-19 22:54:45
5471,Trotoar Jalan Casablanca runtuh parah akibat tanah longsor kecil,Trotoar,Kepulauan Seribu,Berat,2025-11-23 08:36:00
5472,Lampu jalan Jalan Casablanca meledak dan menyebabkan kebakaran kecil,Lampu Jalan,Kepulauan Seribu,Berat,2025-06-08 21:45:04
5473,Taman Jalan Daan Mogot kondisi sangat kritis semua tanaman mati dan fasilitas hancur,Taman,Jakarta Pusat,Berat,2025-06-26 05:02:16
5474,Kondisi jembatan Jalan Cengkareng kritis hampir tidak layak digunakan darurat mutlak,Jembatan,Jakarta Utara,Berat,2025-10-20 16:02:51
5475,Trotoar Gang Anggrek ada satu dua ubin yang goyang sedikit berbahaya,Trotoar,Jakarta Timur,Ringan,2025-10-10 20:53:38
5476,Jembatan Jalan Raya Kembangan ada bagian yang ambles tidak rata warga sekitar sudah mengeluh,Jembatan,Jakarta Timur,Sedang,2025-08-30 12:50:38
5477,Pagar pengaman jembatan Jalan Otista sedikit berkarat,Jembatan,Jakarta Barat,Ringan,2025-09-16 20:14:41
5478,Sistem drainase Jalan Kebon Jeruk kolaps total banjir mengancam pemukiman warga,Drainase,Jakarta Barat,Berat,2025-02-07 14:37:28
5479,Sistem drainase Jalan Warung Buncit kolaps total banjir mengancam pemukiman warga,Drainase,Jakarta Barat,Berat,2025-11-04 13:24:38
5480,Lantai jembatan jl TB Simatupang berlubaan berbahaya bagi kendaraan warga sekitar sudah mengeluh,Jembatan,Jakarta Utara,Sedang,2025-09-24 09:06:26
5481,Jembatan Jalan Raya Pasar Minggu ada retakan kecil di permukaan beton,Jembatan,Jakarta Utara,Ringan,2025-07-31 03:09:13
5482,Badan jalan Jalan Mangga Dua ambles sangat berbahaya terutama malam hari,Jalan,Jakarta Selatan,Berat,2025-08-10 01:31:30
5483,Tiang penyangga kabel fiber di Jalan Warung Buncit patah menimpa rumah warga,Kabel Fiber,Jakarta Barat,Berat,2025-10-09 07:14:53
5484,Cat jembatan di Jalan Kebon Jeruk mulai mengelupas perlu dicat ulang,Jembatan,Kepulauan Seribu,Ringan,2025-03-25 10:27:11
5485,Aspal di atas jembatan Jalan Pangeran Jayakarta retak tipis perlu penambalan,Jembatan,Jakarta Selatan,Ringan,2025-04-24 22:32:42
5486,Beberapa bata trotoar Jalan Kebon Jeruk retak ringan,Trotoar,Jakarta Timur,Ringan,2025-10-20 09:37:36
5487,Drainase Jalan Haji Nawi jebol air membanjiri jaln dan rumah warga sekitar,Drainase,Jakarta Timur,Berat,2025-02-20 14:51:00
5488,Drainase Jalan Raya Bekasi tersumbat menyebabkan genangan air saat hujan,Drainase,Jakarta Barat,Sedang,2025-02-23 08:10:56
5489,Permukaan trotoar Jalan Warung Buncit tidak rata berbahaya untuk lansia dan difabel,Trotoar,Jakarta Timur,Sedang,2025-07-28 21:08:01
5490,Drainase Jalan Pluit meluap saat hujan deras meski sebentar samping pom bensin,Drainase,Jakarta Selatan,Sedang,2025-04-15 01:32:29
5491,Trotoar Gang Mawar rusak parah pejalan kaki terpaksa jalan di badan jalan,Trotoar,Jakarta Selatan,Sedang,2025-09-28 05:06:05
5492,Drainase Gang Melati kurang bersih perlu segera diperhatikan,Drainase,Kepulauan Seribu,Ringan,2025-07-02 05:42:42
5493,Jalur pejalan kaki di taman Gang Mawar rusak dan berlubang anak anak sering lewat sini,Taman,Jakarta Selatan,Sedang,2025-11-01 20:51:42
5494,Ada retakan tipis di permukaan jalan Jalan Rasuna Said,Jalan,Jakarta Pusat,Ringan,2025-11-09 03:54:59
5495,Beberapa titik drainase Jalan Pramuka tersumbat menyebabkan genangan,Drainase,Jakarta Utara,Sedang,2025-09-26 02:15:23
5496,Pohon tumbang besar di taman Jalan Raya Bekasi sangat membahayakan warga sekitar,Taman,Jakarta Barat,Berat,2025-11-23 19:36:32
5497,Banyak lubang kecil sedang di badan jalan Jalan Panjang,Jalan,Jakarta Timur,Sedang,2025-10-17 18:28:57
5498,Taman Jalan Raya Bekasi agak gersang perlu penambahan tanaman,Taman,Jakarta Pusat,Ringan,2025-03-29 03:05:28
5499,Kabel fiber di tiang Jalan Mangga Dua terlihat longgar,Kabel Fiber,Jakarta Timur,Ringan,2025-01-24 17:32:40
5500,Trotoar Jalan Haji Nawi banyak ubin pecah sangat tidak nyaman dilalui,Trotoar,Kepulauan Seribu,Sedang,2025-10-31 09:59:42
5501,Lantai jembatan Jalan Pangeran Jayakarta berlubang berbahaya bagi kendaraan,Jembatan,Jakarta Barat,Sedang,2025-09-01 02:34:59
5502,Taman Gang Anggrek sedikit kotor ada sampah berserakan,Taman,Jakarta Pusat,Ringan,2025-07-29 08:19:34
5503,Lampu jalan Jalan Ahmad Yani mati pada jam tertentu saja,Lampu Jalan,Jakarta Utara,Ringan,2025-03-06 03:28:56
