deskripsi_laporan,jenis_infrastruktur,kota_administrasi,tingkat_kerusakan,date_laporan,tingkat_kerusakan_encoded
instalasi kabel fiber jalan pluit kurang rapi mengganggu estetika,kabel fiber,jakarta utara,ringan,2025-09-04 17:45:25,0
pohon tumbang besar di taman jalan haji nawi sangat membahayakan warga sekitar,taman,jakarta pusat,berat,2025-06-12 00:41:31,2
banyak lubang kecil sedang di badan jalan jalan raya bekasi,jalan,jakarta timur,sedang,2025-09-09 12:54:35,1
jembatan jalan hayam wuruk ambles parah dan menutup akses jalan utama,jembatan,kepulauan seribu,berat,2025-06-01 19:20:48,2
kabel fiber jalan daan mogot mengurai dan menggantung di tengah jalan,kabel fiber,kepulauan seribu,sedang,2025-08-25 21:18:52,1
trotoar jalan warung buncit runtuh parah akibat tanah longsor kecil,trotoar,kepulauan seribu,berat,2025-05-08 00:12:19,2
taman jalan pangeran jayakarta perlu pembersihan ringan daun daun berguguran,taman,jakarta timur,ringan,2025-11-20 03:56:43,0
kabel fiber di jalan ahmad yani rusak parah akibat korsleting,kabel fiber,jakarta selatan,sedang,2025-09-27 18:04:59,1
bangku taman di jalan gunung sahari rusak dan tidak bisa digunakan,taman,jakarta timur,sedang,2025-02-16 19:30:10,1
jembatan jalan ahmad yani retak parah dan sangat berbahaya harus ditutup,jembatan,jakarta utara,berat,2025-01-07 16:53:45,2
saluran air jalan sudirman tersumbat dan bau tidak sedap menyebar,drainase,jakarta selatan,sedang,2025-06-19 07:17:50,1
permukaan jln jalan gatot subroto bergelombang dan berlubang,jalan,jakarta timur,sedang,2025-01-03 11:13:25,1
jalur kabel fiber di jalan pluit tidak tertata dengan baik,kabel fiber,jakarta selatan,ringan,2025-05-03 10:18:29,0
jembatan jalan cengkareng rusak berat tidak layak dilalui kendaraan apapun,jembatan,jakarta timur,berat,2025-02-11 10:12:06,2
kabel fiber jalan hayam wuruk menyebabkan kebakaran karena korsleting parah,kabel fiber,jakarta utara,berat,2025-04-24 05:23:39,2
trotoar jalan daan mogot runtuh dan menimbulkan lubang besar di pinggir jalan sudah dilaporkan ke rt tapi belum ada respons,trotoar,jakarta barat,berat,2025-04-27 13:30:46,2
instalasi kabel fiber jalan mangga dua hancur total akibat tertimpa pohon besar tumbang,kabel fiber,jakarta utara,berat,2025-09-04 07:51:27,2
drainase jalan cengkareng kurang bersih perlu segera diperhatikan,drainase,jakarta selatan,ringan,2025-08-28 10:02:01,0
drainase jalan raya pasar minggu meluap saat hujan deras meski sebentar mohon bantuannya,drainase,jakarta timur,sedang,2025-10-09 04:44:55,1
trotoar jalan ciledug raya dirusak oleh akar pohon dan tidak rata,trotoar,jakarta timur,sedang,2025-11-26 03:18:49,1
got besar di gang dahlia amblas menyebabkan jalan ikut rusak tolong segera ditangani sudah dilaporkan ke rt tapi belum ada respons,drainase,jakarta pusat,berat,2025-02-02 11:11:29,2
kondisi taman jalan fatmawati sangat memperihatinkan rusak total perlu penanganan segera,taman,jakarta pusat,berat,2025-07-20 16:07:44,2
bunga di taman jalan pluit layu karena kurang air,taman,jakarta selatan,ringan,2025-10-17 15:35:03,0
beton jembatan jalan gunung sahari patah sebagian sangat darurat,jembatan,jakarta barat,berat,2025-10-24 04:48:30,2
kondisi trotoar jalan kebon jeruk cukup memprihatinkan banyak kerusakan merata,trotoar,jakarta selatan,sedang,2025-01-09 11:08:15,1
jalan jalan pluit rusak dengan lubang berdiameter 50 cm,jalan,jakarta selatan,sedang,2025-09-17 17:54:49,1
trotoar jalan hayam wuruk dirusak oleh akar pohon dan tidak rata,trotoar,jakarta barat,sedang,2025-06-13 05:56:08,1
bangku taman di jalan otista rusak dan tidak bisa digunakan,taman,jakarta barat,sedang,2025-06-18 13:26:03,1
taman jalan gunung sahari hancur dan perlu dibangun ulang dari awal,taman,jakarta selatan,berat,2025-06-28 18:32:26,2
aspal di atas jembatan jalan kebon jeruk retak tipis perlu penambalan,jembatan,jakarta selatan,ringan,2025-08-18 14:17:19,0
taman jalan casablanca hancur total akibat banjir semua fasilitas rusak,taman,jakarta selatan,berat,2025-03-05 15:45:21,2
jalan jalan kebon jeruk tidak rata dan berlubang menyebabkan kendaraan oleng,jalan,kepulauan seribu,sedang,2025-09-11 23:57:42,1
got besar di jalan rasuna said amblas menyebabkan jalan ikut rusak,drainase,jakarta selatan,berat,2025-05-18 20:21:46,2
jalur pejalan kaki di taman gang anggrek rusak dan berlubang,taman,jakarta timur,sedang,2025-10-14 11:50:55,1
jl jalan panjang berlubang cukup dalam sekitar 15 cm,jalan,jakarta pusat,sedang,2025-06-26 22:53:39,1
got pinggir jalan jalan gunung sahari ada sampah plastik menyumbat sedikit,drainase,jakarta pusat,ringan,2025-05-06 16:08:19,0
jalan di jalan pramuka mulai retak namun masih bisa dilalui,jalan,jakarta pusat,ringan,2025-10-30 03:05:51,0
lampu jalan jalan mangga dua casing nya sedikit retak tapi masih menyala 🙏,lampu jalan,jakarta timur,ringan,2025-12-14 10:01:08,0
lampu taman di jalan cengkareng mati sehingga taman gelap malam hari,taman,kepulauan seribu,sedang,2025-01-29 01:02:09,1
ada lampu jalan di jalan ahmad yani yang sering mati hidup sendiri,lampu jalan,jakarta selatan,ringan,2025-05-12 20:14:37,0
trotoar di jalan gunung sahari hancur akibat banjir pejalan kaki tidak bisa lewat,trotoar,jakarta utara,berat,2025-11-29 07:04:15,2
kabel fiber jalan warung buncit mengurai dan menggantung di tengah jalan,kabel fiber,jakarta selatan,sedang,2025-03-21 03:51:20,1
kabel fiber jalan pramuka terbakar menyebabkan pemadaman internet massal,kabel fiber,jakarta barat,berat,2025-06-03 06:00:20,2
infrastruktur lampu jalan di jalan gunung sahari hancur parah akibat kecelakaan,lampu jalan,kepulauan seribu,berat,2025-06-16 01:33:13,2
fasilitas taman jalan rasuna said banyak yang rusak perlu diperbaiki,taman,jakarta pusat,sedang,2025-11-21 13:35:47,1
seluruh jaringan kabel fiber di jalan ahmad yani putus total tidak ada sinyal sudah 2 minggu belum diperbaiki,kabel fiber,jakarta utara,berat,2025-03-22 03:18:19,2
area bermain anak di taman jalan gajah mada fasilitasnya banyak rusak,taman,kepulauan seribu,sedang,2025-05-28 16:33:39,1
kerusakan trotoar gang dahlia sangat parah ada lubang besar mengancam keselamatan,trotoar,jakarta selatan,berat,2025-07-13 18:39:45,2
area gang anggrek gelap gulita karena banyak lampu jalan mati,lampu jalan,jakarta barat,sedang,2025-08-05 15:54:44,1
lantai jembatan jln ciledug raya berlubang berbahaya bagi kendaraan,jembatan,jakarta timur,sedang,2025-04-14 14:57:40,1
kerusakan massal kabel fiber di jalan haji nawi menyebabkan wilayah luas tanpa internet,kabel fiber,jakarta selatan,berat,2025-08-24 09:41:26,2
trotoar jalan sisingamangaraja rusak berat ada yang ambles ke saluran drainase bawahnya,trotoar,jakarta selatan,berat,2025-03-24 00:08:23,2
got besar di jalan hayam wuruk amblas menyebabkan jalan ikut rusak,drainase,jakarta selatan,berat,2025-09-24 22:10:58,2
kabel lampu jalan di jalan cengkareng tampak menjuntai berbahaya,lampu jalan,jakarta selatan,sedang,2025-06-10 06:04:33,1
trotoar gang anggrek rusak parah pejalan kaki terpaksa jalan di badan jalan,trotoar,jakarta selatan,sedang,2025-04-26 05:45:34,1
lampu jalan di gang jalan pangeran jayakarta kurang terang perlu perhatian,lampu jalan,jakarta utara,ringan,2025-02-24 04:12:53,0
jembatan jalan hayam wuruk ambles parah dan menutup akses jalan utama,jembatan,jakarta barat,berat,2025-02-05 06:38:09,2
pohon tumbang besar di taman gang anggrek sangat membahayakan warga sekitar,taman,jakarta selatan,berat,2025-11-01 20:19:39,2
tiang kabel fiber jalan pluit roboh dan kabel berantakan di jalan sangat berbahaya,kabel fiber,jakarta selatan,berat,2025-02-02 12:47:00,2
permukaan jembatan jalan pangeran jayakarta mulai kasar dan tidak rata,jembatan,jakarta utara,ringan,2025-02-17 07:26:16,0
saluran drainase jalan sudirman perlu perawatan ringan sebelum musim hujan,drainase,jakarta selatan,ringan,2025-08-06 06:45:35,0
banjir merendam taman jalan otista semua tanaman dan fasilitas rusak parah,taman,jakarta utara,berat,2025-08-12 00:34:10,2
trotoar jalan meruya ada satu dua ubin yang goyang sedikit berbahaya,trotoar,jakarta pusat,ringan,2025-08-13 16:45:05,0
banyak lubang kecil sedang di badan jalan jalan pluit,jalan,jakarta barat,sedang,2025-11-15 05:50:11,1
ada kabel fiber di jalan hayam wuruk yang pengikatnya lepas,kabel fiber,jakarta barat,ringan,2025-06-16 14:20:16,0
lampu taman di jalan hayam wuruk mati sehingga taman gelap malam hari,taman,jakarta timur,sedang,2025-12-12 17:40:17,1
instalasi kabel fiber jalan panjang hancur total akibat tertimpa pohon besar tumbang,kabel fiber,jakarta barat,berat,2025-08-05 12:09:55,2
kerusakan massal kabel fiber di jalan rasuna said menyebabkan wilayah luas tanpa internet,kabel fiber,kepulauan seribu,berat,2025-10-31 01:20:09,2
kondisi trotoar jalan meruya cukup memprihatinkan banyak kerusaan merata,trotoar,jakarta pusat,sedang,2025-10-03 16:52:49,1
penerangan jalan di jalan pluit gelap karena beberapa lampu mati,lampu jalan,jakarta timur,sedang,2025-11-24 14:24:57,1
pagar pengaman jembatan jalan pramuka sedikit berkarat,jembatan,jakarta timur,ringan,2025-11-18 07:46:06,0
permukaan trotoar jalan pramuka sedikit tidak rata,trotoar,jakarta pusat,ringan,2025-07-02 17:55:11,0
got besar di jalan ahmad yani amblas menyebabkan jalan ikut rusak,drainase,kepulauan seribu,berat,2025-12-15 03:41:30,2
terdapat lubang sangat besar di jalan jalan ciledug raya membahayakan pengendara,jalan,jakarta selatan,berat,2025-03-03 14:43:13,2
drainase jalan gatot subroto kurang bersih perlu segera diperhatikan,drainase,jakarta timur,ringan,2025-04-15 22:46:13,0
kabel fiber jalan fatmawati putus massal akibat bencana menyebabkan blackout digital,kabel fiber,jakarta utara,berat,2025-10-21 18:11:53,2
kerusakan trotoar jl hayam wuruk sangat parah ada lubang besar mengancam keselamatan,trotoar,jakarta selatan,berat,2025-01-11 05:11:09,2
kerusakan jlan di jl warung buncit cukup parah ada beberapa lubang,jalan,jakarta timur,sedang,2025-10-31 18:58:39,1
tiang kabel fiber di jalan fatmawati roboh menimpa kendaraan yang lewat,kabel fiber,jakarta selatan,berat,2025-04-24 13:56:10,2
lampu jalan gang melati cahayanya mulai memudar,lampu jalan,jakarta timur,ringan,2025-02-24 13:51:20,0
jalan jalan raya kembangan rusak dengan lubang berdiameter 25 cm,jalan,jakarta selatan,sedang,2025-11-28 18:04:40,1
jembatan jalan meruya hampir roboh sangat mengancam keselamatan jiwa,jembatan,jakarta timur,berat,2025-05-08 17:35:09,2
kerusakan jalan di jalan gajah mada cukup parah ada beberapa lubang,jalan,jakarta timur,sedang,2025-04-29 05:20:41,1
tiang lampu jalan jalan raya kembangan patah miring hampir jatuh ke jalan ini jalan protokol yang ramai,lampu jalan,jakarta pusat,berat,2025-06-23 07:50:36,2
laporan got jln haji nawi retak dan bocor air merembes ke jaln warga sekitar sudah mengeluh,drainase,jakarta barat,sedang,2025-09-07 10:35:19,1
saluran got di jalan gajah mada mampet total air meluap ke jalan,drainase,jakarta pusat,sedang,2025-05-14 03:31:46,1
lantai jembatan jalan sisingamangaraja berlubang berbahaya bagi kendaraan,jembatan,jakarta pusat,sedang,2025-11-15 23:47:56,1
jalan jalan mangga dua ada sedikit retak di pinggir badan jalan,jalan,jakarta barat,ringan,2025-08-08 05:51:25,0
sistem drainase jalan pangeran jayakarta kolaps total banjir mengancam pemukiman warga,drainase,jakarta pusat,berat,2025-05-08 00:36:21,2
tempat duduk di taman jalan daan mogot hampir semua rusak tidak layak,taman,jakarta timur,sedang,2025-05-28 08:36:51,1
kabel fiber jalan gatot subroto terputus akibat tertimpa pohon,kabel fiber,jakarta pusat,sedang,2025-08-20 22:46:07,1
drainase jalan warung buncit kurang bersih perlu segera diperhatikan,drainase,kepulauan seribu,ringan,2025-03-29 14:38:52,0
got jalan panjang ada sedikit sampah yang menghambat aliran air,drainase,jakarta utara,ringan,2025-10-15 00:11:36,0
kabel fiber jl ahmad yani putus massal akibat bencana buat blackout digital,kabel fiber,jakarta selatan,berat,2025-03-15 02:10:03,2
kabel fiber di jalan pluit kondisinya kurang baik perlu pengecekan,kabel fiber,jakarta timur,ringan,2025-06-08 21:57:38,0
drainase jalan hayam wuruk tidak berfungsi dan menyebabkan banjir kecil,drainase,jakarta barat,sedang,2025-08-25 16:58:31,1
pagar jembatan di jalan raya bekasi rusak dan membahayakan pejalan kaki,jembatan,jakarta timur,sedang,2025-12-04 06:31:45,1
kabel fiber jalan haji nawi putus dan terurai berbahaya berpotensi menyetrum warga,kabel fiber,jakarta timur,berat,2025-06-05 18:35:58,2
laporan satu bundel kabel fiber di jalan raya pasar minggu terlepas dari pengikat tiang,kabel fiber,kepulauan seribu,ringan,2025-09-08 04:09:01,0
bunga di taman gang melati layu karena kurang air,taman,jakarta timur,ringan,2025-11-25 03:08:50,0
tiang lampu jalan muara baru roboh hampir menimpa rumah warga,lampu jalan,jakarta timur,berat,2025-06-13 23:50:46,2
sambungan kabel fiber di jalan hayam wuruk terputus layanan internet terganggu,kabel fiber,jakarta pusat,sedang,2025-01-18 06:11:02,1
permukaan trotoar jalan cengkareng tidak rata berbahaya untuk lansia dan difabel,trotoar,jakarta barat,sedang,2025-01-09 17:31:38,1
drainase jalan warung buncit tidak berfungsi dan menyebabkan banjir kecil,drainase,jakarta timur,sedang,2025-11-29 14:33:32,1
beton jembatan jalan pangeran jayakarta retak ringan di bagian pinggir,jembatan,jakarta barat,ringan,2025-09-28 18:28:22,0
longsor kecil merusak area taman jalan pramuka secara parah,taman,kepulauan seribu,berat,2025-11-07 22:47:46,2
saluran drainase di jalan otista sedikit tersumbat sampah daun,drainase,jakarta utara,ringan,2025-12-29 11:42:32,0
kondisi jalan jalan raya bekasi kritis hampir tidak layak dilalui,jalan,jakarta timur,berat,2025-06-06 07:40:34,2
instalasi kabel fiber jalan panjang kurang rapi mengganggu estetika,kabel fiber,jakarta barat,ringan,2025-07-30 01:51:53,0
pemasangan kabel fiber di jalan haji nawi tidak rapi menggantung rendah,kabel fiber,jakarta timur,ringan,2025-01-07 00:17:19,0
jembatan gang mawar ada bagian yang ambles tidak rata,jembatan,jakarta pusat,sedang,2025-04-30 12:41:05,1
beberapa bata trotoar jalan sisingamangaraja retak ringan,trotoar,jakarta barat,ringan,2025-10-28 18:20:07,0
drainase jalan ahmad yani jebol menyebabkan banjir parah di pemukiman warga,drainase,jakarta selatan,berat,2025-08-03 11:53:55,2
jalan jalan sudirman mengalami retak kecil sepanjang 8 meter,jalan,jakarta utara,ringan,2025-03-31 06:55:46,0
terdapat keretakan kecil di aspal jalan jalan muara baru,jalan,jakarta utara,ringan,2025-10-29 02:01:49,0
jembatan jalan warung buncit ambles parah dan menutup akses jalan utama,jembatan,jakarta utara,berat,2025-03-21 18:10:49,2
tiang lampu jalan jalan hayam wuruk roboh sangat berbahaya menghalangi jalan,lampu jalan,jakarta barat,berat,2025-12-31 18:47:22,2
tiang penyangga kabel fiber di jalan pangeran jayakarta patah menimpa rumah warga ini sudah lama dibiarkan,kabel fiber,jakarta utara,berat,2025-11-01 02:19:12,2
drainase jalan tb simatupang kurang bersih perlu segera diperhatikan,drainase,jakarta pusat,ringan,2025-08-09 20:55:47,0
trotoar jalan rasuna said ambles di beberapa titik berbahaya pejalan kaki,trotoar,jakarta pusat,sedang,2025-09-07 01:39:52,1
tiang kabel fiber jalan daan mogot miring hampir roboh,kabel fiber,jakarta utara,sedang,2025-04-30 00:36:26,1
pondasi jembatan jalan pangeran jayakarta amblas darurat harus segera dievakuasi mohon bantuannya,jembatan,jakarta pusat,berat,2025-08-03 06:43:37,2
taman jl meruya rusak berat akibat vandalisme parah butuh renovasi total,taman,jakarta barat,berat,2025-08-03 19:07:09,2
jalan jalan ciledug raya amblas dalam dan lebar sangat mengancam keselamatan,jalan,kepulauan seribu,berat,2025-07-02 20:09:46,2
got pinggir jalan jalan gatot subroto ada sampah plastik menyumbat sedikit,drainase,jakarta utara,ringan,2025-03-04 06:10:07,0
ada lampu jalan di jalan daan mogot yang sering mati hidup sendiri,lampu jalan,jakarta timur,ringan,2025-11-30 22:29:26,0
jembatan jalan otista ada bagian yang ambles tidak rata,jembatan,jakarta utara,sedang,2025-08-25 21:08:03,1
taman jalan raya bekasi banyak vandalisme coretan di fasilitas umum,taman,jakarta timur,sedang,2025-02-20 23:43:05,1
ubin trotoar di jalan fatmawati mulai longgar tapi masih aman,trotoar,jakarta utara,ringan,2025-02-04 12:25:06,0
cat jembatan di jalan sudirman mulai mengelupas perlu dicat ulang,jembatan,kepulauan seribu,ringan,2025-03-30 05:02:07,0
trotoar di jalan tb simatupang ada beberapa ubin yang retak kecil,trotoar,jakarta timur,ringan,2025-10-24 01:28:08,0
beberapa pot tanaman di taman jalan warung buncit retak kecil,taman,jakarta utara,ringan,2025-12-11 21:47:59,0
kabel fiber jl panjang putus dan terurai bahaya berpotensi menyetrum warga tolong segera ditangani,kabel fiber,jakarta pusat,berat,2025-09-25 14:59:15,2
trotoar di jalan raya pasar minggu ada celah kecil antar ubin perlu diperbaiki,trotoar,jakarta barat,ringan,2025-04-30 19:47:46,0
paving block trotoar jalan gatot subroto sedikit terangkat perlu diperbaiki,trotoar,jakarta pusat,ringan,2025-04-02 09:36:12,0
jalan jalan cengkareng amblas parah dan sangat berbahaya bagi pengendara,jalan,jakarta selatan,berat,2025-07-13 10:13:34,2
jalan jalan casablanca tidak rata dan berlubang menyebabkan kendaraan oleng,jalan,jakarta utara,sedang,2025-01-22 05:29:41,1
got jalan ciledug raya penuh sampah dan lumpur tidak bisa mengalir,drainase,jakarta utara,sedang,2025-11-26 09:49:33,1
trotoar jalan raya bekasi ambles dalam sagnat berbahaya bagi semua pengguna jalan,trotoar,jakarta utara,berat,2025-02-05 09:11:06,2
lampu jalan jalan warung buncit sering konslet menyebabkan mati berulang,lampu jalan,jakarta selatan,sedang,2025-02-10 00:50:35,1
lampu jalan jalan tb simatupang kabelnya terkelupas berbahaya bila hujan,lampu jalan,jakarta pusat,sedang,2025-11-13 20:33:08,1
trotoar jalan warung buncit ada retakan tipis di beberapa bagian,trotoar,kepulauan seribu,ringan,2025-06-28 00:36:42,0
saluran drainase di jalan gunung sahari sedikit tersumbat sampah daun,drainase,jakarta barat,ringan,2025-06-05 04:38:18,0
lampu jalan jalan meruya casing nya sedikit retak tapi masih menyala,lampu jalan,jakarta timur,ringan,2025-07-05 00:53:52,0
jembatan jalan panjang retak parah dan sangat berbahaya harus ditutup,jembatan,kepulauan seribu,berat,2025-10-07 22:54:23,2
pagar taman jalan raya bekasi rusak di beberapa bagian,taman,jakarta pusat,sedang,2025-06-24 12:53:50,1
trotoar jalan gatot subroto russk parah pejalaan kaki terpaksa jalan di badan jalan,trotoar,kepulauan seribu,sedang,2025-02-26 23:47:41,1
jembatan jalan ahmad yani ada sedikit getaran saat dilalui kendaraan berat,jembatan,jakarta timur,ringan,2025-01-26 06:45:42,0
jalan jalan gajah mada berlubang cukup dalam sekitar 10 cm,jalan,jakarta utara,sedang,2025-10-20 11:08:49,1
instalasi listrik lampu jalan jalan panjang terbakar sangat berbahaya,lampu jalan,jakarta utara,berat,2025-12-19 15:52:01,2
kabel fiber di jalan raya pasar minggu kondisinya kurang baik perlu pengecekan,kabel fiber,jakarta pusat,ringan,2025-02-08 14:07:09,0
taman jalan sudirman ga terawat tanaman banyak yang mati,taman,jakarta timur,sedang,2025-05-07 13:59:22,1
drainase jalan otista jebol air membanjiri jalan dan rumah warga sekitar,drainase,jakarta utara,berat,2025-09-11 17:23:24,2
bangku taman di jalan ahmad yani rusak dan tidak bisa digunakan,taman,kepulauan seribu,sedang,2025-05-25 04:13:54,1
got di jalan rasuna said mulai penuh lumpur perlu dikeruk,drainase,jakarta timur,ringan,2025-01-09 02:56:47,0
beberapa kabel fiber di jalan casablanca putus menyebabkan area mati sinyal,kabel fiber,jakarta timur,sedang,2025-03-01 04:30:59,1
drainase jalan raya pasar minggu kurang bersih perlu segera diperhatikan,drainase,jakarta utara,ringan,2025-01-14 03:23:39,0
saluran got jalan raya pasar minggu mulai menyempit karena endapan,drainase,jakarta selatan,ringan,2025-03-16 07:35:31,0
permukaan trotoar jalan meruya sedikit tidak rata,trotoar,jakarta utara,ringan,2025-05-02 05:38:39,0
beberapa bata trotoar jalan raya bekasi retak ringan,trotoar,jakarta utara,ringan,2025-01-15 23:46:05,0
jembatan jalan gatot subroto ada retakan kecil di permukaan beton,jembatan,jakarta selatan,ringan,2025-07-14 18:01:26,0
beberapa lampu jalan di jalan mangga dua mati menyebabkan jalan gelap,lampu jalan,jakarta pusat,sedang,2025-04-05 04:55:18,1
banyak lubang kecil sedang di badan jalan jalan mangga dua,jalan,jakarta timur,sedang,2025-09-21 03:21:20,1
tiang kabel fiber gang dahlia miring hampir roboh,kabel fiber,jakarta selatan,sedang,2025-05-31 05:52:56,1
kerusakan massal kabel fiber di gang melati menyebabkan wilayah luas tanpa internet,kabel fiber,jakarta utara,berat,2025-11-21 20:00:14,2
banyak lubang kecil sedang di badan jalan jalan raya pasar minggu,jalan,jakarta utara,sedang,2025-12-23 09:02:15,1
ada retakan tipis di permukaan jlan jalan tb simatupang,jalan,jakarta utara,ringan,2025-01-04 00:39:23,0
cat jembatan di jalan tb simatupang mulai mengelupas perlu dicat ulang,jembatan,jakarta barat,ringan,2025-07-31 15:36:58,0
jalur pejalan kaki di taman jalan otista rusak dan berlubang,taman,jakarta pusat,sedang,2025-11-15 11:27:57,1
jembatan jl mangga dua terancam roboh akibat banjir besar melanda,jembatan,jakarta pusat,berat,2025-05-20 02:23:28,2
taman jalan tb simatupang sedikit kotor ada sampah berserakan sudah 2 minggu belum diperbaiki,taman,jakarta timur,ringan,2025-10-22 11:23:18,0
area bermain anak di tmaan jalan fatmawati fasilitasnya banyak rusak depan masjid,taman,jakarta timur,sedang,2025-07-27 05:15:16,1
saluran air taman jalan panjang mampet menyebabkan genangan,taman,jakarta selatan,sedang,2025-08-27 03:08:53,1
area bermain anak di taman jalan cengkareng fasilitasnya banyak rusak,taman,jakarta pusat,sedang,2025-05-15 13:00:07,1
rel jembatan jalan kebon jeruk copot berbahaya bagi pengguna jalan,jembatan,jakarta selatan,sedang,2025-01-18 01:49:07,1
lampu jlan jalan meruya sering konslet menyebabkan mati berulang,lampu jalan,jakarta pusat,sedang,2025-09-04 01:13:01,1
jalan di jalan ciledug raya mulai retak namun masih bisa dilalui,jalan,jakarta selatan,ringan,2025-12-26 13:35:14,0
aspal di atas jembatan jalan otista retak tipis perlu penambalan,jembatan,jakarta utara,ringan,2025-02-15 12:17:48,0
banyak lubang kecil sedang di badan jalan jalan sisingamangaraja,jalan,jakarta pusat,sedang,2025-02-16 05:27:33,1
penyangga jembatan gang melati terlihat retak perlu inspeksi,jembatan,jakarta pusat,sedang,2025-01-18 00:33:06,1
area jalan kebon jeruk gelap gulita karena banyak lampu jalan mati,lampu jalan,jakarta pusat,sedang,2025-12-22 11:28:06,1
bangku taman di jalan gajah mada rusak dan tidak bisa digunakan,taman,jakarta barat,sedang,2025-03-19 00:55:46,1
urgent drainase jalan kebon jeruk rusak berat banjir menggenangi rumah warga sudah dilaporkan ke rt tapi belum ada respons,drainase,jakarta timur,berat,2025-02-11 22:03:29,2
drainase jalan mangga dua kurang bersih perlu segera diperhatikan,drainase,jakarta timur,ringan,2025-02-07 16:02:26,0
beton jembatan jalan raya bekasi retak lebar perlu penanganan segera,jembatan,jakarta pusat,sedang,2025-08-04 07:03:29,1
kabel fiber jalan otista menyebabkan kebakaran karena korsleting parah,kabel fiber,kepulauan seribu,berat,2025-12-08 10:05:03,2
got di jalan cengkareng mulai penuh lumpur perlu dikeruk,drainase,kepulauan seribu,ringan,2025-05-12 16:17:31,0
lantai jembatan jalan rasuna said ada retakan tipis perlu pengecekan,jembatan,jakarta utara,ringan,2025-05-07 12:11:07,0
lampu penerangan di jalan gunung sahari kurang terang perlu diganti,lampu jalan,jakarta pusat,ringan,2025-12-07 00:01:36,0
lampu jalan di gang anggrek redup tidak seterang biasanya,lampu jalan,kepulauan seribu,ringan,2025-07-06 11:34:55,0
terdapat lubang sedang di jlan jalan ahmad yani yang mengganggu kendaraan,jalan,jakarta utara,sedang,2025-09-22 11:28:27,1
lampu jalan di jalan warung buncit redup tidak seterang biasanya,lampu jalan,jakarta timur,ringan,2025-12-14 19:16:31,0
ubin trotoar di jalan casablanca banyak yang copot dan berlubang,trotoar,jakarta utara,sedang,2025-01-07 03:35:00,1
kerusakan masif trotoar jln muara baru membahayakan jiwa pejalan kaki,trotoar,jakarta pusat,berat,2025-06-07 21:51:55,2
penerangan jalan di gang mawar gelap karena beberapa lampu mati,lampu jalan,jakarta barat,sedang,2025-04-20 12:10:52,1
ubin trotoar jalan pangeran jayakarta banyak yang hilang meninggalkan lubang ini sudah lama dibiarkan,trotoar,kepulauan seribu,sedang,2025-08-30 08:53:27,1
kerusakan jalan di jalan pramuka cukup parah ada beberapa lubang,jalan,jakarta selatan,sedang,2025-07-14 04:05:22,1
tiang lampu jalan di jalan mangga dua miring cukup parah perlu segera diperbaiki,lampu jalan,jakarta pusat,sedang,2025-10-03 16:15:53,1
kabel lampu jalan jalan sisingamangaraja putus dan terurai berbahaya menyetrum,lampu jalan,jakarta selatan,berat,2025-03-23 15:01:02,2
trotoar jalan sudirman ada retakan tipis di beberapa bagian,trotoar,jakarta utara,ringan,2025-01-09 12:26:27,0
tempat duduk di taman jalan haji nawi hampir semua rusak tidak layak depan masjid,taman,kepulauan seribu,sedang,2025-02-10 10:40:37,1
drainase gang dahlia tersumbat menyebabkan genangan air saat hujan,drainase,jakarta utara,sedang,2025-01-25 02:50:07,1
urgent trotoar jalan meruya runtuh dan menimbulkan lubang besar di pinggir jalan,trotoar,jakarta barat,berat,2025-01-15 18:31:42,2
lampu jalan jalan rasuna said mati pada jam tertentu saja,lampu jalan,jakarta utara,ringan,2025-08-04 08:02:01,0
laporan taman jalan pangeran jayakarta hancur dan perlu dibangun ulang dari awal,taman,jakarta barat,berat,2025-12-21 08:37:15,2
rel jembatan jalan ahmad yani copot bahaya bgt bagi pengguna jalan,jembatan,jakarta barat,sedang,2025-09-25 17:04:52,1
trotoar jalan pangeran jayakarta runtuh parah akibat tanah longsor kecil,trotoar,jakarta pusat,berat,2025-12-19 22:54:45,2
trotoar jalan casablanca runtuh parah akibat tanah longsor kecil,trotoar,kepulauan seribu,berat,2025-11-23 08:36:00,2
lampu jalan jalan casablanca meledak dan menyebabkan kebakaran kecil,lampu jalan,kepulauan seribu,berat,2025-06-08 21:45:04,2
taman jalan daan mogot kondisi sangat kritis semua tanaman mati dan fasilitas hancur,taman,jakarta pusat,berat,2025-06-26 05:02:16,2
kondisi jembatan jalan cengkareng kritis hampir tidak layak digunakan darurat mutlak,jembatan,jakarta utara,berat,2025-10-20 16:02:51,2
trotoar gang anggrek ada satu dua ubin yang goyang sedikit berbahaya,trotoar,jakarta timur,ringan,2025-10-10 20:53:38,0
jembatan jalan raya kembangan ada bagian yang ambles tidak rata warga sekitar sudah mengeluh,jembatan,jakarta timur,sedang,2025-08-30 12:50:38,1
pagar pengaman jembatan jalan otista sedikit berkarat,jembatan,jakarta barat,ringan,2025-09-16 20:14:41,0
sistem drainase jalan kebon jeruk kolaps total banjir mengancam pemukiman warga,drainase,jakarta barat,berat,2025-02-07 14:37:28,2
sistem drainase jalan warung buncit kolaps total banjir mengancam pemukiman warga,drainase,jakarta barat,berat,2025-11-04 13:24:38,2
